frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved,tcp.srcport,tcp.dstport,tcp.len
"1","Jun 14, 2020 10:17:55.308365000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dd310e4f6205e9161a4a8b6ca28259b21d2c303a7493a4889006ffae411729be86f06370b31d331d1794c46cc1c7b564a075b2d906a01eaad48272aee7607207faeecec0efa02bed958ba4e9bf2688af914fd7d8c638677e596ea3f7568efd9981e8","112","8053","54321","120","XIAOMI Electronics,CO.,LTD",,,
"2","Jun 14, 2020 10:17:55.481398000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dd316e2a56db85cf2160aca7f50103638d5047e82de4f0d944c64e0cc5a9cf09581a5586e2f6a22642cf182333d13d5aebda","64","54321","8053","72","XIAOMI Electronics,CO.,LTD",,,
"3","Jun 14, 2020 10:17:55.492224000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dd312cae3319a26e03b6ebfa214b8e0deb24e3fafc8f5abaada60b30ee7a1337a1a1ab4d633f038ea3a868adcbd8844f5def643c46ca5364aed19699f5eb0c2c13c52230e002e8e4a9dad46cfeb44ab69032","96","54321","8053","104","XIAOMI Electronics,CO.,LTD",,,
"4","Jun 14, 2020 10:17:55.518481000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5dd31bc57e3f81654d0128e6f663e9067410afee67835ffbb329ceec07861d5b85cdb459efd4bd22cd9ceef57a62bbf8336d1","64","8053","54321","72","XIAOMI Electronics,CO.,LTD",,,
