frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"14","Jun 14, 2020 10:27:40.433586000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df7a529287dab08594c60bfb83c7da6502d5303a7493a4889006ffae411729be86f0e31e0032eb719cc76d26670f3d39d124c56a48da5a57a45756fbe29cd6b17118ed4f47582fb9ebeaff068e5f2ef90c9b38dca412a2d219533cd2ba087774f90c","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"15","Jun 14, 2020 10:27:40.441041000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df7a8522c6c4306ce27e7a5c6338172d43da87a2e5f85df11e6a696e9cfea3ab0cdd0a603fc54df3b0d8f9a1deb6be26a0d9","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"16","Jun 14, 2020 10:27:40.457418000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df7a1f1f26d623ca721a10f98ec0f85cdb4b47e82de4f0d944c64e0cc5a9cf09581ae0f09daba72c1a216b7466b6915c43ce","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"17","Jun 14, 2020 10:27:40.685719000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df7a7fde34a1c6a86b345ef4b0d99c1777ffe3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b467434f0935f01ef4cd6b163090975a18ab662d1e35e613ecf14c4a9593f3eb902258","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"18","Jun 14, 2020 10:27:40.747952000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df7ac47402e1c5d4362dd8c4f11f7ee29ba3ec90788c40644f237b3ef7785d328226cf182e3b04f35c961b37ce8132b2c953","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"19","Jun 14, 2020 10:27:40.950888000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df7a3f080da45cb9f667b2913f45ddc8a4e2303a7493a4889006ffae411729be86f0ed394b25658acf0e8df6792b6aa7af51afff65e274cdefe0510bd2fd3a19acc88bbc630af14af2d9a7988af95d4e4acad61b132dc81a6638a86141156d26db63","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"20","Jun 14, 2020 10:27:40.967848000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df7a2abadc903cfa478317e653861aa98a4d47e82de4f0d944c64e0cc5a9cf09581ad5a9caac664f9af1ff11633112feac41","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"21","Jun 14, 2020 10:27:41.453697000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df7a78e94bf09caaf04e1c55e0bfe51552f5303a7493a4889006ffae411729be86f0c69ab7968af3c327aa0e0aef258e9de87ae0f7aae721a352d573960731094b50898b7dbec9c062933f59502b561e4e014957737f14a70fcad61ebdb47bb13d46","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"22","Jun 14, 2020 10:27:41.481123000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df7b0dcf376b2c9c0e2f418917fbfa10a51447e82de4f0d944c64e0cc5a9cf09581a260a6e46a4d754167e20e176256ad00a","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"23","Jun 14, 2020 10:27:41.612848000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f7455647030595a3ade107cf954000100044895c203ef7a6f0c16b5f36a61c6ef69e5aa60dfae24e914","44","57621","57621","52",
"24","Jun 14, 2020 10:27:41.887055000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df7b1de357288ed424223b8e41aa37d6307ce3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743469c1486125ffbf888ade4aa9f06dddf53debdd0ae73dee77ee5180c87a9e302","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"25","Jun 14, 2020 10:27:41.966072000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df7c10a7305c760a20c5d0f4ff59da1c0657303a7493a4889006ffae411729be86f0a35b65784844a25d3b5a111b2e876f07731a7fa189e0090121ab7c019c1579fce83f43877727cad52ee22195ef9bc5ad7dc5a0c4279dd617a8616c10d5d5ac23","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"26","Jun 14, 2020 10:27:41.976540000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df7bd46f094a8b5d492a29f252843576dfbf994f58aa5ac09f948d1d40a644fb75cc0073bfc4aa3eb5428ea58e6f44510cb1","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"27","Jun 14, 2020 10:27:41.992809000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5df7b8c1e92d338671365330af89e25ff30f747e82de4f0d944c64e0cc5a9cf09581a302e8afc0fd36de3b49d8320e44582ec","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"28","Jun 14, 2020 10:27:42.207751000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5df7c6633bcd8c0c4e1a90cfe6116803e8270e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743e395d95315dd4e7ba5e881e526fba0a6cd839e3fe4605c453e9a7e4790fe9339","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"29","Jun 14, 2020 10:27:42.283762000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5df7c68d6d02f482d6f08015d4a2b5bc082a89756a1b9f1741a27005b5f3766ad7263f92d192d239801ed20c857b47aed4b86","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"30","Jun 14, 2020 10:27:42.478658000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5df7cc7fdcd18797a8aba1c82241e2f91b440303a7493a4889006ffae411729be86f0182f5967cef90ff4dd2c427134b7d648f72179251b25c2688ebf3e1025907531db08f2021c0934973755cc1d55773b64ec758ee8d27bb12757ffda81e20f0048","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
