frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun  6, 2020 17:24:58.888152000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb54952fb8d1972ac3d371b6ac1024861f1d7303a7493a4889006ffae411729be86f040407339ee9727d508bdb841d8e4bbe1d742f63d2f9ca5d606c5e21ed0a6cd6a48e4a96fd3a38443d631efb8965dcd569ffe282e9e047f796be993cc581df351","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun  6, 2020 17:24:58.908154000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310020000000000721ae555edbb5491619c12aadc938e4b2c30bd2b4fce650","32","54321","8053","40","XIAOMI Electronics,CO.,LTD"
"3","Jun  6, 2020 17:24:58.960520000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb54af3877af2f7f651be2e7a939a0fe602e647e82de4f0d944c64e0cc5a9cf09581a2ec33b4e86cca379715f884d532509e2","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"4","Jun  6, 2020 17:24:58.966270000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310070000000000721ae555edbb54a82b5afad1eb403ae8ff25b1e18dc15f2e3fafc8f5abaada60b30ee7a1337a1a1ab4d633f038ea3a868adcbd8844f5def06a4fd7410a00461eee9f9ae8db0c06a97c5d6660b944a807da340f736e9ab8bc3bbdff84f2f124a24a296620f24153f","112","54321","8053","120","XIAOMI Electronics,CO.,LTD"
"5","Jun  6, 2020 17:24:59.001355000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310020000000000721ae555edbb5491619c12aadc938e4b2c30bd2b4fce650","32","8053","54321","40","XIAOMI Electronics,CO.,LTD"
"6","Jun  6, 2020 17:24:59.001470000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb54a8b275cd19e589af57a3719e70f3bc7d306e3faeb9189ae0ae9119b17d71790e7032d6ff520422d7a2cb8e7006f07ecdf","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
