frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:30:25.712641000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5e01e69bd7a8103f808deecd63355b45eb6c9303a7493a4889006ffae411729be86f08451f9c1729382c498da37de2f00428881797e12144725a3392f1d37d20c8a04193b2dee8d162c4ef4d4e4da1e1d78072a586146057107ccc880ce689b618675","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:30:25.989177000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5e01fc6d6d4d06711fead82b4d74958bd702247e82de4f0d944c64e0cc5a9cf09581ad6518b39039ccf8ef9bffc6db65e3f40","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:30:25.999532000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310070000000000721ae555ee5e01fd45c88814c42b569bdc92e6de73f4b91e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b467436c6dff94b600676ee22352e4630d68b54245849722a0b8103e572f732ce9de01787586a9bcfcfb3e397ac915c319bb4c","112","54321","8053","120","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:30:26.026244000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5e01f58e849ab5c31e6411564ee0f06df17ab3daa84d9372c28be41662d15600358df70d45c6658a62fb9b9bd3f87ed9f8227","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
