frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun  6, 2020 17:16:34.788029000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb351e463e43a3135e42e9ca58e55bee5dd2be3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743b6615e75c7c38b5127b337b1fa2af3bf0e39f5c2b2882a7ab88637ccdaa16287","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"2","Jun  6, 2020 17:16:34.879111000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb351d1f334ec94f0766520e617e3a3b6e6004199f0d918a27531d68e122042c8fece0d46c9c3b08aa96c13e71e48921d37be","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"3","Jun  6, 2020 17:16:36.388266000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb353dd76f34df36c859639e69dd54eb120a1e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743c1a91ce144845305a000a35411aa827d5918cb07847cc836e0d87d2210ad5f9f","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun  6, 2020 17:16:36.412652000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb3539bff5b4fc4ff5341ad7b226e1c7c7d0e474fa3df8bc9830089ce818bd49c5659102d5341f748583fabd63f6707483c24","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"5","Jun  6, 2020 17:16:45.432023000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f745564703027570d3f3d27d128000100044895c2034e28d891c91c457ab98d7e4f7ad708f6dd84eca6","44","57621","57621","52",
"6","Jun  6, 2020 17:16:50.087078000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","53",
"7","Jun  6, 2020 17:16:51.426652000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310020000000000721ae555edbb362e752faeacf16aa2106efe1e3bf2b17c3","32","54321","8053","40","XIAOMI Electronics,CO.,LTD"
"8","Jun  6, 2020 17:16:51.466075000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310020000000000721ae555edbb362e752faeacf16aa2106efe1e3bf2b17c3","32","8053","54321","40","XIAOMI Electronics,CO.,LTD"
"9","Jun  6, 2020 17:16:52.075271000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:7f:ff:fa","192.168.137.1","239.255.255.250","17",,,"56640","1900","134",
