frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"13","Jun 14, 2020 10:23:24.936617000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7b73c116740d4eb3162830653b9d54d16c303a7493a4889006ffae411729be86f08f67ddef9ca9b43f70cf12d10eac0e07197cd48f77cd8661a357a668405596e88083891a7d8796b1fd5f1e364943a32d72bd230616bf29a482d664c0b946b452","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"14","Jun 14, 2020 10:23:24.962091000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7a751edb4898a2fdc4caf2eb63e5f5c9cb47e82de4f0d944c64e0cc5a9cf09581a6bd96af228c18d938555a324c7ea834d","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"15","Jun 14, 2020 10:23:25.070113000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de7b3ec4ea12f841a26fcf8c092fd8e4baffe3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d603c11a7e4ef865ec3bc24afb59d0e417639faafc926364c8764cea96b24cf5ca3","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"16","Jun 14, 2020 10:23:25.151829000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de7b48d4073d8608da28452ac6a3e5eac8f31e030eddae949ac77f2417fc8844bb3fc84e22300ed9b7ed4c86dd859fff5878","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"17","Jun 14, 2020 10:23:25.353703000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7be8e86389e0257a62c9174269fe9d1344303a7493a4889006ffae411729be86f0443b5199a64f1ab38d8ee07357ddb173a3347a4d6b4bb213cf9f7713894f10df34607df3809214e197e1f634ae238531b1127810bb54941ee0c5fe404089bf89","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"18","Jun 14, 2020 10:23:25.371560000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7bcb1842d2f6cc25d6271b3221af9c281d47e82de4f0d944c64e0cc5a9cf09581ac6790ecc1082560d096a269e63ef3b81","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"19","Jun 14, 2020 10:23:25.869800000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7ca14a83e716aec23e2471b3fc8e2a247d303a7493a4889006ffae411729be86f0f8b8ffb9fffb3661425f6a37aa39eb48490d8839c80fcca45ecbb1680808a91748c8c4849c2ed45256a883b604d1ebefe65959665d25c99f83dc005bf0ef1d7f","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"20","Jun 14, 2020 10:23:25.884093000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7b3de08d20e56b78cb969f85874c603f5647e82de4f0d944c64e0cc5a9cf09581a814c59981583cc39399ee617caf8cbcd","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"21","Jun 14, 2020 10:23:26.293633000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de7c3ec72ddd9983de8375906a13e55d8e30e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60f5b47b168d2a29a0313bf0ef637c522d866eeda31d7486aa85bc554621c3f120","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"22","Jun 14, 2020 10:23:26.379990000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de7c67c248732d478a4f6a691c572735a0a1fdcd8653fc2488d903690a76767aecc96926948d9a22c76a0bd254d91804e806","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"23","Jun 14, 2020 10:23:26.472235000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7c0b8d528abd6e5558e2c819f1172560a3303a7493a4889006ffae411729be86f0b6658aa735791edb681c1b289611ec2df0b77dca3b3709dab16df884c51ce1c958a80f70cb033e2aa893d2eb5b70eacbf0561941733d1d8352aaf6a03c8a665e","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"24","Jun 14, 2020 10:23:26.497864000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7cf12bd00555c132df2641e21c169ba15847e82de4f0d944c64e0cc5a9cf09581a0f2257cfb15592af0732b4786f606542","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"25","Jun 14, 2020 10:23:27.397277000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7d84a9061d2868578cecc87891251adc46303a7493a4889006ffae411729be86f0a55224ad0004ab40d49ad8b40fb8d792e7d05e36f8a40fe79c836b265c67ccb9a1b69bc01df45ae66e89b850aa898730c26fb68fac7b57ac334545f054858d5d","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"26","Jun 14, 2020 10:23:27.419241000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7dbeeb8433f50bbe7c9d5c10e16437dbe147e82de4f0d944c64e0cc5a9cf09581a3d69852bf47afcee2a240e63dc12ad14","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"27","Jun 14, 2020 10:23:27.469827000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de7dda0c12b736a17cd12b96e2eae787ff66e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d6087407e8ad727f307518ad477be76e51a4a2930633f6f5ef9c662712778ea6e41","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"28","Jun 14, 2020 10:23:27.506511000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de7d5b8eca0012dc0b8eccbc2c9e94ee1911b804a4ffdb1e5b579fa6d7f323126dd7ae09a6028535f18efd9c908bbad78899","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"29","Jun 14, 2020 10:23:28.008019000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7e9276517aa80a774d2f08cc61fbf94038303a7493a4889006ffae411729be86f01102337013f20b3bde90e7fbd1a77a93845147d7ef1ae3c2ddec71edea17d870ec19c05b4a7e5afa4ef0ff08d258a261e2d03c375c3613c3b16743902d1d1805","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"30","Jun 14, 2020 10:23:28.033999000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7d96f34e4130cd0a39a553867dd716ce0347e82de4f0d944c64e0cc5a9cf09581a5ea7b65179fa0b26310271d5a30826e7","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"31","Jun 14, 2020 10:23:28.429188000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7d49e828c561064248475e4c261bf1598a303a7493a4889006ffae411729be86f0e3634cfbe75f06a0e3a323534fe1eb8e958e5e4f59f4b54751caf4b0b4857380151878b34c517e661d1fdaf65be2e2df65113e8c070c15492972e3b3364bfebe","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"32","Jun 14, 2020 10:23:28.443619000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7eaede71652199c274b3f149a0564a32b147e82de4f0d944c64e0cc5a9cf09581a65c91b751b9211e270b867dc2a2be9c6","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"33","Jun 14, 2020 10:23:28.670082000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de7ea9e79e740194612c78d08838a8698cb3e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d603f2842e85092b4f0be4c964bfa80190eebece0a0e77bd1878fe52cd7cb6a8f94","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"34","Jun 14, 2020 10:23:28.736217000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de7e3faee7baaf1c40998137d4de6910ee7e3efb7f0fbaa8963625a8680aa346df1bdc23aea9edfd5c37c6245fb156db30dd","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"35","Jun 14, 2020 10:23:29.442015000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de7e8e63e0ec48852cf4410e287801b71f21303a7493a4889006ffae411729be86f099e163062db44d4039cce5b7ae07793fcea4c3d0976a82c49bb06301f6892244d8e4ec878d8c46b145c2620d6b75e2191c14bd093e78618f9a6ad431ef306c4f","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"36","Jun 14, 2020 10:23:29.467343000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7f39b3c8bd34d8fa4053c918a954677a9b47e82de4f0d944c64e0cc5a9cf09581af7ee248ecb045c11a965e8c145f4b9bf","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"37","Jun 14, 2020 10:23:29.870570000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de7fe0995989c346f6ea7d4e0c4797c2fc28e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d6086db632ae5128433aa3891d3e348bc1530763b9642a0d5ed730bc80811210500","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"38","Jun 14, 2020 10:23:29.958683000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de80722e76f79d272c97fe820d09a67ff2c0303a7493a4889006ffae411729be86f00ccf2ff8810103dfd02c921d89621c1f1f3dd4bc0df5c8ca6c7fb60aefc9fe2620d0d8f91be90a4e925d773f5d9597438c6d08573e54cbb3c7bd4a5a7b52066b","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"39","Jun 14, 2020 10:23:29.964036000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de7fa4add653c8694b606966ec61307fe0c9057f58359831f0609deb1d2bf16df8814d1cdaa13597d8679c69805a516fb928","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"40","Jun 14, 2020 10:23:29.981487000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de7f03095e922a8eb46707cc93eb83caa4ae47e82de4f0d944c64e0cc5a9cf09581a26d38c2e7845edd58b543569b3f12576","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"41","Jun 14, 2020 10:23:30.179101000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de80318acc7b090f94b0adeb7e5b10e73c9fe3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60d1437094df15d976e02da7ad7c407eb7bef0cf747cddab7dc95c7f82e03a9f5a","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"42","Jun 14, 2020 10:23:30.271385000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de803ecae944d40b816e2b6bed6a6548cea401fa79299cca3a5dbfd9c51a813fd4708389599d6680f92f207df8318336fb09","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"43","Jun 14, 2020 10:23:30.468712000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de80e465e8bf15c3228455a7db98f5ff78ee303a7493a4889006ffae411729be86f0031987a6817744458d3216c2e0fe09dad472deb81117b6bd4227473e3316b9c83188a015a7c3a7edcad4e940ace6beb0506dbf54bf55f62c5e8474ac7aa9360b","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"44","Jun 14, 2020 10:23:30.491257000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de8044859808e0dcfb7858fc28273863410f47e82de4f0d944c64e0cc5a9cf09581aa021bb0bb5920324a9b111268690a912","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"45","Jun 14, 2020 10:23:30.981226000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de8122afe01d4542b1697290a47a1307783d303a7493a4889006ffae411729be86f0b3d3d160dcb354d13dee21a3b48f15ba0e0cfea0a8b688e47623e9042af513588250b5ee987c3dc781e1633203d8b7b3d539b48c00892553d05db087fdc8ffbd","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"46","Jun 14, 2020 10:23:31.003527000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de8004399787fe505761709b3bdd0eb0934347e82de4f0d944c64e0cc5a9cf09581a0e1798bc7ab53efcb2b24eea90f4b143","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"47","Jun 14, 2020 10:23:31.408064000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de8148896a94ebd4f1b31009b8f40660a000e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60d052a801b76e5971bc666a21df2f1d6a709b61b92bab710b05b65e906516c7a0","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"48","Jun 14, 2020 10:23:31.500818000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de81659b1a6b1b15a783be91a651ec53c3207c8d8c9e0373a0894ecec3057e91a8167f35272283dcd17f7b4e6f7ae9dfa96f","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"49","Jun 14, 2020 10:23:31.592810000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de81ec0e2a0b72fe79b9b17c8aca85110519303a7493a4889006ffae411729be86f003e68b32a9f075507cb6c5ad6e1d7192e623c07fcc85f3569e01969426891b3be965e6467b5a9bfd317e1b962181a78a1cd17d42fb18c470219360e9451279a3","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"50","Jun 14, 2020 10:23:31.617813000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de813c37e06503f71819de6e2b3f4e5c69cc47e82de4f0d944c64e0cc5a9cf09581a14efe04f532d927e775ad8089f872ba9","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"51","Jun 14, 2020 10:23:32.423823000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de8136a54376ec1c0d382d14a94a8a16418a303a7493a4889006ffae411729be86f0b9662c4c1760642b3003dc66ac962cf86732597a4ab86b86b24ba6bf9169a09918fcf671a2db856459e56a77dde0c214cb862ec8da148fcdb3f64c4aa61462c3","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"52","Jun 14, 2020 10:23:32.452708000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5de824d0564cf2b67e9a1c0ae822ea9a8510f47e82de4f0d944c64e0cc5a9cf09581a60c08360fc831340bd9e312ecb93a48d","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"53","Jun 14, 2020 10:23:32.600072000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5de8247263356134f28ed8f3b6a520a9491dfe3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d609eb68445f044402943e44f286670ea332aa6861c0d925b6402ada517b2b7b277","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"54","Jun 14, 2020 10:23:32.627824000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5de82908596cf1472e7fe71b0da5fbfdcec93ac5b935920a8e8d7864766247d9da99623a3377ae585ae2262bc337c44a1d4c0","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"55","Jun 14, 2020 10:23:33.069745000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5de8301d66d36f660a131c6d39d6d4e95bab0303a7493a4889006ffae411729be86f093462eddf0692a8d9c1885f3dbf7c6de64bd687e0c2cc43e8dd07ff7cdb412045445220005b731e23a74ac533f683cdca5734da7c6b74eacbacec5c463d96f1a","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
