frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:29:24.684205000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dfe1ea5f25c30af28fdb096a9907e13d943a303a7493a4889006ffae411729be86f0a59e2092ee1fbaccb66bef4699bd43e6d0e767bdd0b9828216bb645bd637f8858f5e6ebe0341f8ed9415ce3f068e963a3da9db9c553b6c63d02a60b09983fe6b","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:29:24.854986000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dfe2f257c15b7fdf9b5540084056b71cc6f247e82de4f0d944c64e0cc5a9cf09581a82298d878843191fe3102e3ea8defd05","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:29:24.857557000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310070000000000721ae555ee5dfe2ab03855bcd401a96fb3881dbf2a9768ce3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b467436c6dff94b600676ee22352e4630d68b5194f711a6a1acee51d4e17499803440e8006d237a6c55a5cdcbc33132d519e58","112","54321","8053","120","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:29:24.891892000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5dfe24a87628415f7ebe1994a86f08248a17d6847640c40aa5b1f6e2e2edf1e63a34c04663a844555ae255987720e0a716255","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
