frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"15","Jun  6, 2020 17:27:30.679322000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb5e1c1d1c746103736d89558ebcc69fa2485e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60b7db5eb961a840229d69bf60e3883e018b0d3664971b128879324c9fcbfb6083","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"16","Jun  6, 2020 17:27:30.750629000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb5e03a08ea359756af25a438105d54dc2199303a7493a4889006ffae411729be86f02f51b04ee2190b7b64f2b1908d27270e90e56394f5bb3e00a54b3baa9d396e228e804792a50f5555105156ccabc96077e3719c3e3a25e9ac8c80307625005b9f","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"17","Jun  6, 2020 17:27:30.761625000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb5e19f08c329aefeda65f954ca516091a0e7172f85c7ccfb2996608bcc141473079301e7abb9a5545df4b2d928ad39f28b4a","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"18","Jun  6, 2020 17:27:30.775392000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb5e1ba646572e86c035f2f25d607b78fde6047e82de4f0d944c64e0cc5a9cf09581abf3c62b6a1e0c2a2d848b859c15b284e","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"19","Jun  6, 2020 17:27:30.979760000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb5e2b93c87a18199e9691e29814c0b534f32e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d601ce5b1bded9c51d0ec51be5eaf97aa2aacc7186f4e84ff77d5e0a057f6063479","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"20","Jun  6, 2020 17:27:31.081444000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb5e2526ff163c57850705535f0a90ee8e0c6a2c970fe8ea0f50a3aa31a23a9bc1cfaae06e0c91c9b26ab0eca5488b678575e","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"21","Jun  6, 2020 17:27:31.774991000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310070000000000721ae555edbb5e2f24d917d80af70abe940d0953e8c8ea0303a7493a4889006ffae411729be86f052d9f3701c939943dc96aa4316302f7be3132f6b77c78e057b8e23625ebf2bfa13fabe8d2cf0c768d54117db153f991a255d89a3e4d9bafcccf24d8abdd3082c","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"22","Jun  6, 2020 17:27:31.799336000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb5e231e47dd04eef739b7b7ad3b8836f0a0c47e82de4f0d944c64e0cc5a9cf09581ad943ca7e2d52eccf402e6ed0a67ad13f","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"23","Jun  6, 2020 17:27:32.104303000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb5e34e436eb10585b4afbe678434a1f67fc2e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60fe06a86d6f2c097465a16fde8ddfd04758bb426ee1191b27a293c80cf800ccdb","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"24","Jun  6, 2020 17:27:32.196453000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb5e342568330ce0cb0dd346fdce90b4a68e70ee74e246cbf7df7ae0a6d5ddbe3e7ae6617e84a5ac695c87eb2bab7bda6312a","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
