frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 09:56:03.886189000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d812607c8136aa8991a71e15ef4150ee7b6fe3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b467436699f49e2889e4691de2dd6a7ffaf53eb1e8240cf6c9aa9a56e462046960eaca","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 09:56:03.947917000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d812e6ecb746bb7d0d817cffa07c40cae6c686eaa9b06d5f24e1faf67f1c94f3fdc4cc16d3c9839cb60f10ab2bc62713fcb6","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 09:56:05.186376000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d8140e8065620e6f3eace42485d82ada4d90e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743e9bc37428cd5c0f9bcd918a4f11a7c2c9ace4b43d825d2f87cf6974aebcd17c7","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 09:56:05.278630000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d814921e406a140cbd62cb08e69ac700b33948d64757ac300d624b8afcb607913cf1bcaaeb600c05e24ef69e7bf55acd242e","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 09:56:05.492816000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d814130a502705834b723631eb1c03920a57e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b46743603da4cbf0814dcb00ad4abc78337bb76c34c02b8635f58365f159fe8a986e6f","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 09:56:05.586951000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d8149a7d4b56e00bde62e8fcd6463691095d3be7de43fdbbb16258d3cdc8f01bc0f74aecb55510d5b151f89470d764feca87","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"7","Jun 14, 2020 09:56:06.986479000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d8158f0c9bed1ca1112ca735ceb5f5a4bf43e3fafc8f5abaada60b30ee7a1337a1a12a6801db9231a6621d087d74c5b467432def001995b2c8e1c949a9aba0b6feffb4d3ed0fdcabec71eec86c0a998093c6","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"8","Jun 14, 2020 09:56:07.213661000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d815e818ece230b16d91429ca931e8e4657791dbdd4465b93e0c4058e87f260dcd04fcf809efc6e4e21b6d405cf4d1181569","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"9","Jun 14, 2020 09:56:09.076760000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f7455647030595a3ade107cf954000100044895c203ef7a6f0c16b5f36a61c6ef69e5aa60dfae24e914","44","57621","57621","52",
