frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:13:35.511940000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dc2c72c7e16b4288ace13a6eafddccee6cef303a7493a4889006ffae411729be86f09ca968d2d8aee27714c0200a0c956ed0d9c032ddb230a23e3a2c9eb09a6bb737690ad7fe29ce1dde935f757422f2caa69b1d0cece5105991a2eca740cc12342e","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:13:35.582466000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dc2dab0140c4764906e020120a2866b3feee1bfe3291f9686f3b8444748cb452e379d80af5025e3043ce170867da699a0c28","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:13:35.917489000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","213100a0000000000721ae555ee5dc2eec63a053784b50ca090f63520a814085303a7493a4889006ffae411729be86f0603871afe5a913e0dec86bfafdcd40d296a5da4d266c76d67f0448f079aca0fded8ac08488320205d828d229ab2bfc064edcb52264fe4f02e9c058aca6ecd477acc7c323817e049a22b3bd9372e6767196b2486f6838c01c0e19bef13c5f0b35a1c293b1a94d6d68a2ebb98e8125b391","160","8053","54321","168","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:13:36.197055000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dc2e5978e38d3532c386b736b22de849741f03e0472d67c8a52df568b94a3a9bfc38be653f6a9fcbf36222fb18605c6ad5e3c3076c01fa0cdc75a3e97a74fe1f4680fc145d1a523d7d4bf7b879e1303f39a6","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 10:13:40.472160000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f7455647030595a3ade107cf954000100044895c203ef7a6f0c16b5f36a61c6ef69e5aa60dfae24e914","44","57621","57621","52",
