frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:34:43.986002000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310020000000000721ae555ee5e1218f25758d62abc117ecfc7a1128b40b4c","32","54321","8053","40","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:34:44.079809000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310020000000000721ae555ee5e1218f25758d62abc117ecfc7a1128b40b4c","32","8053","54321","40","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:34:44.478341000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5e121ee1ec4c79dff21f0568eda1ef1796559303a7493a4889006ffae411729be86f0ab89dc661bda913c37127bcb6909b5ce6bc73baf9f21c1eb5957ccfba4f84fb5a76a3002b52b98dd4dd6fee86051f9c8ba0e1487ec827a1b3cbdad05ee0f6cfa","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:34:44.710064000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5e122ffb8083af4af286d8cda3bbe0c100aa247e82de4f0d944c64e0cc5a9cf09581a33be8e8c44cb447befd7123a0c14e01e","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 10:34:44.714632000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5e1225305ab7804b8bdcbb9adcd3896a7fe5be3fafc8f5abaada60b30ee7a1337a1a14f0689f6db60098a568d15dc290441e7418511dc82653bfa03d9d21df837a1aac8f2bd3d0420a0e778ea2b6485409310","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"6","Jun 14, 2020 10:34:44.797310000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5e12277ef32a1fe2df2682878bee24beed9138905042947c71aaa4d69100b8a2c75efc16054977fe2400df1d0219276025bd9","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
