frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:08:34.283050000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310070000000000721ae555ee5db00861a54688db20d4b20c2fc6c5374d3bbe3fafc8f5abaada60b30ee7a1337a1a1ab4d633f038ea3a868adcbd8844f5defa3be62b9689852e34bb71fb4abdd477fe2c18d08cb984daf42e1a68106e06e0c20d91a298baf8ae3496f6dcfe40b9ab7","112","54321","8053","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:08:34.352862000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5db00294d2c82dc46aeba3a597012e86120b6a818d0f0457f3792bfcc89e4bbe2928f337e3b00770188b70e0dfcd940b368da","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:08:37.485276000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5db03c68767d38a0f52b38609886735b8ed20e3fafc8f5abaada60b30ee7a1337a1a17c5367a610427a2595f7faa7f4be4caf01f7527537b816b71e60a8dd98cbe6017360f5478b161609912923947ed7349f","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:08:37.618616000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5db0308a0f2981b8bbc3214a9133673222b826bb92fe6e4bc6b9765242215b0771c286b7a1e6f9d4c2161013bea2051d8814f","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"5","Jun 14, 2020 10:08:40.086347000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f7455647030595a3ade107cf954000100044895c203ef7a6f0c16b5f36a61c6ef69e5aa60dfae24e914","44","57621","57621","52",
