frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:33:23.585325000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5e0d0b2edc3dd84c58f1b637ce9d99ef56c7f303a7493a4889006ffae411729be86f0e861db594192c44072b927cc4207b350925ab37e180581abbea7fd463de4841487ab44788df26fcfd79e4cd51c7cacde6a0db467ef32d66c159f7d3d5b832583","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:33:23.880545000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5e0d16570c1537f4b3508057d523243399ba547e82de4f0d944c64e0cc5a9cf09581ab098a121bc63fb9d6a1f7e45cc5e57b6","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:33:23.882768000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5e0d19dfcc8efeccc387365dcd68d94d2e234e3fafc8f5abaada60b30ee7a1337a1a1960bbae54be6534198d232d3b2f19be46239f5c28253dd1a17686dde478fa45c02573c0038691bb94f113f08887f3bda","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:33:23.899136000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5e0d11d0df86c9082d0fa08063d0f0e2cfce8c572f89e909a7870522242327bdc024e05240b3d162d5976da305f9e07a7dd2b","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
