frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:16:31.336884000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5dcdcff62ed369e7749ae50c6575fc0724ff6303a7493a4889006ffae411729be86f0d4535246ec159541f428dc4e4bb64152211fbff6645390b7c0b69e430459647f370970685dc361ff0cebed028295a46c28f1b415d2dfd9f765b17fb540151b9e","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:16:31.613166000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5dcddde9aea72ce9d7531bd24a34ba8111e7147e82de4f0d944c64e0cc5a9cf09581a4abc230971cc739e4b2a2b46a65d3590","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:16:31.622237000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5dcddc74b9f1b2e9ea37eee501582754175fee3fafc8f5abaada60b30ee7a1337a1a1ab4d633f038ea3a868adcbd8844f5def643c46ca5364aed19699f5eb0c2c13c500bcebeebd59d670936c03d64800bfcc","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:16:31.650925000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5dcdd84cddf876dffb50e3a3f66df7f8c3ca824cb5452fc6eb33a9541b041e09dd1f0f76cf584da63ef286c4dbbda944fffcb","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
