frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun 14, 2020 10:32:47.749817000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310070000000000721ae555ee5e0adbc73c18b416574ae0a0eebdf39e83aa4303a7493a4889006ffae411729be86f08a3c65b6a81815c57381f3f4bc0ce62d4cd2e28b07504d726d0cd1cf8c49762d62bf15e95987af8a8b93fd49ff54329b384bd96270a535df81256b7877dd59f8","112","8053","54321","120","XIAOMI Electronics,CO.,LTD"
"2","Jun 14, 2020 10:32:47.936300000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310040000000000721ae555ee5e0ad14a7c71e2e120e38be8af3f56f46ab4047e82de4f0d944c64e0cc5a9cf09581a0d4c511b963b480668d3d7ec6df1dfa6","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun 14, 2020 10:32:47.942185000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5e0ade5af0b816b3ea77783c48063dd49d2cae3fafc8f5abaada60b30ee7a1337a1a1960bbae54be6534198d232d3b2f19be46239f5c28253dd1a17686dde478fa45c3d8eb93066a0fe0dfc403f423b9d1bfa","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"4","Jun 14, 2020 10:32:47.955686000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5e0adee597e667bde1d7515852df0dcbbc398482447323ff78a906f7cb48848bee9909f4522b4b1b7b09391a33cfb9c81a9aa","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
