frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun  6, 2020 17:37:14.659918000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310060000000000721ae555edbb8286defc32a4e27b9e123756d95d1cf419c303a7493a4889006ffae411729be86f05f37a5dbcffb46dd00bd0454fc38a7ea70d3a8d4e02183beceb1645b75905e6f0a1e277ea815e76f07106bdd7d45e465","96","8053","54321","104","XIAOMI Electronics,CO.,LTD"
"2","Jun  6, 2020 17:37:14.717714000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb829ab5edad578e0ddabf5b577b70449ec121878a73bca52d4e08c27dbba46fb61133768547fdbcfa55d0504465d6484e3cf","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
"3","Jun  6, 2020 17:37:16.249827000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f745564703027570d3f3d27d128000100044895c2034e28d891c91c457ab98d7e4f7ad708f6dd84eca6","44","57621","57621","52",
"4","Jun  6, 2020 17:37:18.848791000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310060000000000721ae555edbb82ddbdb66f02fc933f126c74c83a63fc03c303a7493a4889006ffae411729be86f09fe325f5f1726bbd2ba3ec007a91839b273c01f3cf9183a7f0856ec9fdebe975a903eac7f9b96dd30d595c7d57c35b61","96","8053","54321","104","XIAOMI Electronics,CO.,LTD"
"5","Jun  6, 2020 17:37:19.018738000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310040000000000721ae555edbb82e3706be7ab897586dfc9e5851395f20d31878a73bca52d4e08c27dbba46fb61139a954ec26bd7079fb4c8a57fa69e94dd","64","54321","8053","72","XIAOMI Electronics,CO.,LTD"
