frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"15","Jun 14, 2020 09:54:12.944780000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d7a37bf7fc048cd1fb2eeaf18fa4632868f9275655cd0cdeaead195a50559ba890ca7d381ecdcc92046510b428388c0555d8","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"16","Jun 14, 2020 09:54:14.253977000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d7a56e64d252ae75ad658fee18fb8633b8d9e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60b1ad1fa8086ac19e13834a0064d750b1919574d75d3ee9569b6ccf583499ba55","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"17","Jun 14, 2020 09:54:14.274446000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d7a5b0b6d02a91fbbee9aebefc6f3fd68f38ab1900a73830de451d6de1a1a625407ed0d5f4c34fd396739fced94abc616e64","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"18","Jun 14, 2020 09:54:15.954023000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d7a6e9713802edf1840ee8a3bf6664518fc3e3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60995d9e9c2004ea05d17fb2f8946bcf337d4b62c9db74e6cc8e9f8beced24a775","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"19","Jun 14, 2020 09:54:16.015393000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d7a621332062cdf52bf73a4a769e4607edd4221fce1a951e8179f1e891496a5ce47ed8e3c77e5723327c645fcdce84e47703","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"20","Jun 14, 2020 09:54:17.153943000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","18.197.235.166","17","21310060000000000721ae555ee5d7a855776e6759bb9984261ce13c96f59b4ae3fafc8f5abaada60b30ee7a1337a1a13519c12b088039c1dd25836649339d60a01e44587a82a3395aa2f5971b06ec53b395a6dfb172761faf327c83a75f7af0","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"21","Jun 14, 2020 09:54:17.244263000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","18.197.235.166","192.168.137.44","17","21310040000000000721ae555ee5d7a8dbda51082f39b417e3d191ac1d082a84c08be69ac64b3329d4ba0f9263d0d7a61b8400ed9302e411b00965e5b9f8f556","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"22","Jun 14, 2020 09:54:19.776168000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:00:00:fb","192.168.137.1","224.0.0.251","17",,,"5353","5353","53",
"23","Jun 14, 2020 09:54:21.755374000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","01:00:5e:7f:ff:fa","192.168.137.1","239.255.255.250","17",,,"51360","1900","134",
"24","Jun 14, 2020 09:54:21.892142000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.44","192.168.137.1","17",,,"68","67","316","XIAOMI Electronics,CO.,LTD"
"25","Jun 14, 2020 09:54:21.928185000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","192.168.137.1","192.168.137.44","17",,,"67","68","310","XIAOMI Electronics,CO.,LTD"
