frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,data.data,data.len,udp.srcport,udp.dstport,udp.length,eth.addr.oui_resolved
"1","Jun  6, 2020 17:12:39.357962000 Mitteleuropäische Sommerzeit","40:31:3c:d3:23:d4","46:85:00:12:35:54","192.168.137.47","3.124.122.199","17","21310060000000000721ae555edbb26694348bbd4824d56db752290accc574b3e3fafc8f5abaada60b30ee7a1337a1a14f0689f6db60098a568d15dc290441e7de2791cc5c6f2cb3f51c4c7716b3690dbf49264fef5dc2bf417628a1523ec886","96","54321","8053","104","XIAOMI Electronics,CO.,LTD"
"2","Jun  6, 2020 17:12:39.451598000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","40:31:3c:d3:23:d4","3.124.122.199","192.168.137.47","17","21310040000000000721ae555edbb2666abb7497f8d4bf6996a8740979dbb1c1f407a8db8374996a32a151112534204bb96eca52a3acd058e0f1b519a79ffb1c","64","8053","54321","72","XIAOMI Electronics,CO.,LTD"
"3","Jun  6, 2020 17:12:45.279195000 Mitteleuropäische Sommerzeit","46:85:00:12:35:54","ff:ff:ff:ff:ff:ff","192.168.137.1","192.168.137.255","17","53706f745564703027570d3f3d27d128000100044895c2034e28d891c91c457ab98d7e4f7ad708f6dd84eca6","44","57621","57621","52",
